date	52 Days	104 Days	153 Days	256 Days	512 Days	1260 Days	1764 Days
2016-02-24	131	89	2	18	19	91	66
2016-02-25	145	70	2	17	19	90	65
2016-02-26	156	52	2	16	18	89	64
2016-02-29	164	36	1	16	18	88	62
2016-03-01	167	22	1	15	18	87	61
2016-03-02	166	10	1	15	18	86	60
2016-03-03	160	4	1	14	18	85	59
2016-03-04	155	5	1	13	17	84	58
2016-03-07	150	10	1	12	17	82	55
2016-03-08	137	19	0	11	17	81	54
2016-03-09	124	32	0	11	17	80	53
2016-03-10	106	47	0	10	17	79	52
2016-03-11	84	65	0	10	17	78	51
2016-03-14	62	83	0	9	16	77	50
2016-03-15	42	101	1	9	16	77	50
2016-03-16	18	111	1	9	16	76	49
2016-03-17	5	120	1	8	16	75	48
2016-03-18	6	126	2	8	16	74	47
2016-03-21	20	130	2	8	16	73	46
2016-03-22	39	132	3	8	16	72	45
2016-03-23	63	131	3	8	16	71	44
2016-03-24	90	127	4	7	16	70	43
2016-03-25	117	121	4	7	16	69	43
2016-03-28	142	113	4	7	16	68	42
2016-03-29	163	104	5	7	16	67	41
2016-03-30	178	95	5	7	16	66	40
2016-03-31	186	86	5	6	16	65	39
2016-04-01	186	76	6	6	16	64	39
2016-04-04	180	66	6	6	16	64	38
2016-04-05	168	56	6	6	16	63	37
2016-04-06	178	48	6	5	16	62	36
2016-04-07	159	39	6	5	16	61	35
2016-04-08	140	32	7	5	16	60	34
2016-04-11	121	25	7	5	16	59	33
2016-04-12	101	19	6	5	16	59	32
2016-04-13	83	13	6	4	16	58	32
2016-04-14	65	9	6	4	17	57	31
2016-04-15	48	5	6	4	17	56	30
2016-04-18	46	2	5	4	17	55	30
2016-04-19	43	1	4	4	17	55	29
2016-04-20	42	0	4	4	17	54	29
2016-04-21	43	2	3	3	17	53	28
2016-04-22	48	5	3	3	18	53	28
2016-04-25	46	9	2	3	18	52	27
2016-04-26	57	14	1	3	18	51	27
2016-04-27	66	20	1	3	18	51	26
2016-04-28	71	28	0	3	18	50	26
2016-04-29	80	33	0	2	19	50	26
2016-05-02	80	40	0	2	19	49	25
2016-05-03	73	46	1	2	19	49	25
2016-05-04	61	53	3	1	19	48	25
2016-05-05	44	59	5	1	19	47	25
2016-05-06	26	64	7	1	19	47	24
2016-05-09	17	67	10	1	20	47	24
2016-05-10	3	77	12	1	20	46	24
2016-05-11	1	85	15	1	19	45	23
2016-05-12	5	91	18	1	19	45	23
2016-05-13	13	93	21	1	19	45	23
2016-05-16	16	90	25	1	19	45	23
2016-05-17	19	83	28	1	19	45	22
2016-05-18	21	75	32	1	19	46	22
2016-05-19	21	64	35	1	19	46	22
2016-05-20	20	54	38	1	19	46	21
2016-05-23	17	44	40	1	19	46	21
2016-05-24	13	37	43	1	19	46	21
2016-05-25	9	30	45	1	19	47	21
2016-05-26	6	24	46	1	19	47	20
2016-05-27	5	18	47	2	19	47	20
2016-05-30	4	13	47	2	19	47	20
2016-05-31	3	10	47	2	19	47	20
2016-06-01	3	11	46	2	20	48	20
2016-06-02	2	17	44	3	20	48	19
2016-06-03	1	26	42	3	20	48	19
2016-06-06	1	34	39	3	20	48	19
2016-06-07	1	43	37	3	20	48	19
2016-06-08	1	50	34	3	20	48	19
2016-06-09	1	57	31	4	20	49	19
2016-06-10	2	60	28	4	20	49	19
2016-06-13	2	61	25	4	20	49	19
2016-06-14	3	59	22	4	20	49	19
2016-06-15	4	56	20	4	20	49	18
2016-06-16	5	51	17	4	20	50	18
2016-06-20	7	46	15	4	20	50	18
2016-06-21	8	38	12	4	20	50	18
2016-06-22	10	30	10	4	20	50	18
2016-06-23	12	26	8	4	20	50	18
2016-06-24	14	21	6	4	20	51	18
2016-06-27	15	16	4	4	20	51	19
2016-06-28	16	12	2	4	21	51	19
2016-06-29	17	8	1	3	21	52	19
2016-06-30	17	5	0	3	21	52	19
2016-07-01	16	3	0	3	21	52	20
2016-07-04	15	2	0	3	21	52	20
2016-07-05	15	2	1	3	21	52	20
2016-07-06	12	2	2	3	21	53	20
2016-07-07	11	1	3	3	21	53	20
2016-07-08	9	1	5	2	21	53	21
2016-07-11	7	1	7	2	21	53	21
