Period Number,Value,Date
1,349.1485290527344,2012-01-13
2,260.6296081542969,2012-01-14
3,288.96923828125,2012-01-15
4,352.2584533691406,2012-01-16
5,352.8368225097656,2012-01-17
6,487.4600524902344,2012-01-18
7,572.57861328125,2012-01-19
8,797.3599853515625,2012-01-20
9,1051.1663818359375,2012-01-21
10,1502.8265380859375,2012-01-22
11,2055.22021484375,2012-01-23
12,2699.770751953125,2012-01-24
13,3513.807861328125,2012-01-25
14,4179.63623046875,2012-01-26
15,4934.400390625,2012-01-27
16,5737.72509765625,2012-01-28
17,6761.80029296875,2012-01-29
18,7895.12939453125,2012-01-30
19,9225.068359375,2012-01-31
20,10566.5146484375,2012-02-01
21,11913.869140625,2012-02-02
22,13277.1162109375,2012-02-03
23,14465.9345703125,2012-02-04
24,15693.9619140625,2012-02-05
25,17292.8828125,2012-02-06
26,18671.685546875,2012-02-07
27,19875.00390625,2012-02-08
28,21027.298828125,2012-02-09
29,22121.953125,2012-02-10
30,23055.2265625,2012-02-11
31,22155.98046875,2012-02-12
32,20976.150390625,2012-02-13
33,20451.83984375,2012-02-14
34,19601.5390625,2012-02-15
35,18613.5,2012-02-16
36,18573.63671875,2012-02-17
37,18444.25,2012-02-18
38,17893.658203125,2012-02-19
39,17110.1015625,2012-02-20
40,16257.7666015625,2012-02-21
41,15538.201171875,2012-02-22
42,14270.5859375,2012-02-23
43,13052.4931640625,2012-02-24
44,11957.765625,2012-02-25
45,11290.0009765625,2012-02-26
46,10703.8037109375,2012-02-27
47,10146.2314453125,2012-02-28
48,9639.171875,2012-02-29
49,9149.6484375,2012-03-01
50,8166.09814453125,2012-03-02
51,7231.35888671875,2012-03-03
52,6594.8837890625,2012-03-04
53,6104.17822265625,2012-03-05
54,6031.9873046875,2012-03-06
55,5990.42578125,2012-03-07
56,6039.115234375,2012-03-08
57,6098.974609375,2012-03-09
58,6312.02099609375,2012-03-10
59,6666.11767578125,2012-03-11
60,6986.3759765625,2012-03-12
61,7479.85302734375,2012-03-13
62,7940.72021484375,2012-03-14
63,8455.2412109375,2012-03-15
64,8893.998046875,2012-03-16
65,9358.5712890625,2012-03-17
66,9599.9990234375,2012-03-18
67,9487.92578125,2012-03-19
68,9278.6435546875,2012-03-20
69,9103.810546875,2012-03-21
70,8815.326171875,2012-03-22
71,8353.0244140625,2012-03-23
72,7845.22802734375,2012-03-24
73,7105.25244140625,2012-03-25
74,6435.97119140625,2012-03-26
75,5782.56298828125,2012-03-27
76,5145.60107421875,2012-03-28
77,4456.80078125,2012-03-29
78,3797.563232421875,2012-03-30
79,3164.743408203125,2012-03-31
80,2544.200927734375,2012-04-01
81,1970.6109619140625,2012-04-02
82,1515.6846923828125,2012-04-03
83,1316.6087646484375,2012-04-04
84,1128.720703125,2012-04-05
85,951.8341674804688,2012-04-06
86,799.0433959960938,2012-04-07
87,708.3471069335938,2012-04-08
88,715.3068237304688,2012-04-09
89,802.6968383789062,2012-04-10
90,1041.0147705078125,2012-04-11
91,1323.4346923828125,2012-04-12
92,1582.6824951171875,2012-04-13
93,1795.7115478515625,2012-04-14
94,1983.0111083984375,2012-04-15
95,2129.176025390625,2012-04-16
96,2233.493896484375,2012-04-17
97,2203.947509765625,2012-04-18
98,2204.050537109375,2012-04-19
99,2081.5048828125,2012-04-20
100,1976.8740234375,2012-04-21
101,1915.13427734375,2012-04-22
102,1845.693115234375,2012-04-23
103,1754.2725830078125,2012-04-24
104,1660.456298828125,2012-04-25
105,1592.4716796875,2012-04-26
106,1514.6378173828125,2012-04-27
107,1431.83203125,2012-04-28
108,1349.9808349609375,2012-04-29
109,1281.009521484375,2012-04-30
110,1182.4462890625,2012-05-01
111,1092.7979736328125,2012-05-02
112,979.0669555664062,2012-05-03
113,881.8563232421875,2012-05-04
114,792.9959106445312,2012-05-05
115,702.3657836914062,2012-05-06
116,613.9592895507812,2012-05-07
117,528.64208984375,2012-05-08
118,446.3246765136719,2012-05-09
119,371.70013427734375,2012-05-10
120,296.64544677734375,2012-05-11
121,220.80877685546875,2012-05-12
122,151.75082397460938,2012-05-13
123,103.61516571044922,2012-05-14
124,63.36408996582031,2012-05-15
125,50.586700439453125,2012-05-16
126,44.40099334716797,2012-05-17
127,47.450469970703125,2012-05-18
128,55.06487274169922,2012-05-19
129,66.11589050292969,2012-05-20
130,84.90147399902344,2012-05-21
131,94.13088989257812,2012-05-22
132,99.89383697509766,2012-05-23
133,99.63593292236328,2012-05-24
134,89.79177856445312,2012-05-25
135,77.565673828125,2012-05-26
136,68.76536560058594,2012-05-27
137,54.258174896240234,2012-05-28
138,42.84473419189453,2012-05-29
139,38.55751037597656,2012-05-30
140,40.78819274902344,2012-05-31
141,31.254127502441406,2012-06-01
142,24.95551872253418,2012-06-02
143,19.818620681762695,2012-06-03
144,17.208538055419922,2012-06-04
145,12.440248489379883,2012-06-05
146,18.215036392211914,2012-06-06
147,20.72702980041504,2012-06-07
148,24.285676956176758,2012-06-08
149,27.779451370239258,2012-06-09
150,32.55625534057617,2012-06-10
151,36.2506103515625,2012-06-11
152,50.44830322265625,2012-06-12
153,74.68720245361328,2012-06-13
154,104.90351104736328,2012-06-14
155,173.62277221679688,2012-06-15
156,265.9610290527344,2012-06-16
157,361.122314453125,2012-06-17
158,452.9972839355469,2012-06-18
159,600.9696044921875,2012-06-19
160,789.6947631835938,2012-06-20
161,991.3986206054688,2012-06-21
162,1192.9844970703125,2012-06-22
163,1369.3411865234375,2012-06-23
164,1523.934814453125,2012-06-24
165,1637.9552001953125,2012-06-25
166,1756.83837890625,2012-06-26
167,1868.28173828125,2012-06-27
168,1948.703857421875,2012-06-28
169,2011.6697998046875,2012-06-29
170,2063.238525390625,2012-06-30
171,2055.638671875,2012-07-01
172,2047.9161376953125,2012-07-02
173,1996.2701416015625,2012-07-03
174,1931.14990234375,2012-07-04
175,1883.198974609375,2012-07-05
176,1828.6396484375,2012-07-06
177,1786.9490966796875,2012-07-07
178,1737.568359375,2012-07-08
179,1723.4774169921875,2012-07-09
180,1728.52734375,2012-07-10
181,1726.9302978515625,2012-07-11
182,1788.077880859375,2012-07-12
183,1838.1519775390625,2012-07-13
184,1870.685302734375,2012-07-14
185,1909.1815185546875,2012-07-15
186,2040.025146484375,2012-07-16
187,2198.975830078125,2012-07-17
188,2413.00830078125,2012-07-18
189,2588.302734375,2012-07-19
190,2682.38232421875,2012-07-20
191,2825.2275390625,2012-07-21
192,2914.1611328125,2012-07-22
193,3032.565185546875,2012-07-23
194,3164.4638671875,2012-07-24
195,3299.31103515625,2012-07-25
196,3448.485595703125,2012-07-26
197,3610.0830078125,2012-07-27
198,3778.556396484375,2012-07-28
199,3911.02587890625,2012-07-29
200,4084.859619140625,2012-07-30
201,4319.9482421875,2012-07-31
202,4569.7275390625,2012-08-01
203,5007.7080078125,2012-08-02
204,5482.02099609375,2012-08-03
205,5893.15478515625,2012-08-04
206,6306.49560546875,2012-08-05
207,6746.28955078125,2012-08-06
208,7165.96435546875,2012-08-07
209,7594.19921875,2012-08-08
210,8019.32861328125,2012-08-09
211,8471.5625,2012-08-10
212,8916.08203125,2012-08-11
213,9375.4111328125,2012-08-12
214,9887.634765625,2012-08-13
215,10462.0380859375,2012-08-14
216,11172.5205078125,2012-08-15
217,11927.2744140625,2012-08-16
218,12420.9970703125,2012-08-17
219,12632.560546875,2012-08-18
220,11760.353515625,2012-08-19
221,11532.859375,2012-08-20
222,11326.16796875,2012-08-21
223,11018.4501953125,2012-08-22
224,10737.482421875,2012-08-23
225,10526.5908203125,2012-08-24
226,10352.9052734375,2012-08-25
227,10103.6171875,2012-08-26
228,9946.181640625,2012-08-27
229,9832.8330078125,2012-08-28
230,9656.3701171875,2012-08-29
231,9619.6826171875,2012-08-30
232,9796.0986328125,2012-08-31
233,9945.0419921875,2012-09-01
234,10093.05859375,2012-09-02
235,10203.291015625,2012-09-03
236,10318.22265625,2012-09-04
237,10414.7333984375,2012-09-05
238,10471.853515625,2012-09-06
239,10496.01171875,2012-09-07
240,10487.353515625,2012-09-08
241,10442.0419921875,2012-09-09
242,10371.6806640625,2012-09-10
243,10269.7080078125,2012-09-11
244,10134.037109375,2012-09-12
245,9969.7099609375,2012-09-13
246,9748.185546875,2012-09-14
247,9479.716796875,2012-09-15
248,9175.3369140625,2012-09-16
249,8875.5703125,2012-09-17
250,8547.3125,2012-09-18
251,8215.69921875,2012-09-19
252,7872.765625,2012-09-20
253,7461.5419921875,2012-09-21
254,7006.7333984375,2012-09-22
255,6557.7177734375,2012-09-23
256,6428.8056640625,2012-09-24
257,6545.58349609375,2012-09-25
258,6756.79541015625,2012-09-26
259,7058.4658203125,2012-09-27
260,7374.734375,2012-09-28
261,7660.1259765625,2012-09-29
262,7906.896484375,2012-09-30
263,8164.6650390625,2012-10-01
264,8507.8759765625,2012-10-02
265,8859.2666015625,2012-10-03
266,9082.0947265625,2012-10-04
267,9216.603515625,2012-10-05
268,9260.8828125,2012-10-06
269,9070.69140625,2012-10-07
270,8820.255859375,2012-10-08
271,8610.2548828125,2012-10-09
272,8401.580078125,2012-10-10
273,8108.03125,2012-10-11
274,7736.5234375,2012-10-12
275,7313.15966796875,2012-10-13
276,6862.53564453125,2012-10-14
277,6358.29345703125,2012-10-15
278,5902.02783203125,2012-10-16
279,5447.5400390625,2012-10-17
280,4978.78515625,2012-10-18
281,4508.314453125,2012-10-19
282,4033.367919921875,2012-10-20
283,3544.462890625,2012-10-21
284,3110.31591796875,2012-10-22
285,2709.59326171875,2012-10-23
286,2328.7578125,2012-10-24
287,1878.90625,2012-10-25
288,1431.0196533203125,2012-10-26
289,1095.8331298828125,2012-10-27
290,905.6665649414062,2012-10-28
291,921.6424560546875,2012-10-29
292,965.0582885742188,2012-10-30
293,1020.335693359375,2012-10-31
294,1105.4632568359375,2012-11-01
295,1210.53759765625,2012-11-02
296,1279.14111328125,2012-11-03
297,1339.798095703125,2012-11-04
298,1369.9228515625,2012-11-05
299,1371.2142333984375,2012-11-06
300,1342.3245849609375,2012-11-07
301,1281.025634765625,2012-11-08
302,1186.396240234375,2012-11-09
303,1129.7503662109375,2012-11-10
304,1053.6170654296875,2012-11-11
305,941.80029296875,2012-11-12
306,805.4781494140625,2012-11-13
307,656.9429931640625,2012-11-14
308,501.750244140625,2012-11-15
309,330.7685546875,2012-11-16
310,184.0537567138672,2012-11-17
311,78.53443908691406,2012-11-18
312,23.876968383789062,2012-11-19
313,7.19229793548584,2012-11-20
314,51.299354553222656,2012-11-21
315,150.20013427734375,2012-11-22
316,304.5650634765625,2012-11-23
317,498.7526550292969,2012-11-24
318,715.2459106445312,2012-11-25
319,923.6253051757812,2012-11-26
320,1104.732666015625,2012-11-27
321,1275.6561279296875,2012-11-28
322,1436.217041015625,2012-11-29
323,1582.159423828125,2012-11-30
324,1696.650634765625,2012-12-01
325,1816.0008544921875,2012-12-02
326,1932.80322265625,2012-12-03
327,2021.7137451171875,2012-12-04
328,2149.73779296875,2012-12-05
329,2269.275390625,2012-12-06
330,2337.339111328125,2012-12-07
331,2360.70263671875,2012-12-08
332,2332.28857421875,2012-12-09
333,2264.403564453125,2012-12-10
334,2168.00537109375,2012-12-11
335,2060.294677734375,2012-12-12
336,1934.6390380859375,2012-12-13
337,1792.7974853515625,2012-12-14
338,1627.2152099609375,2012-12-15
339,1444.497802734375,2012-12-16
340,1252.9970703125,2012-12-17
341,1060.2196044921875,2012-12-18
342,895.3746337890625,2012-12-19
343,735.961181640625,2012-12-20
344,581.0464477539062,2012-12-21
345,445.1658935546875,2012-12-22
346,327.0018615722656,2012-12-23
347,234.73162841796875,2012-12-24
348,163.88389587402344,2012-12-25
349,113.08560943603516,2012-12-26
350,87.96939086914062,2012-12-27
351,119.816162109375,2012-12-28
352,168.69219970703125,2012-12-29
353,237.55062866210938,2012-12-30
354,317.0780029296875,2012-12-31
355,417.34283447265625,2013-01-01
356,527.3973388671875,2013-01-02
357,637.7015380859375,2013-01-03
358,739.8629150390625,2013-01-04
359,839.5513916015625,2013-01-05
360,928.0723266601562,2013-01-06
361,998.1535034179688,2013-01-07
362,1071.0020751953125,2013-01-08
363,1132.5421142578125,2013-01-09
364,1175.7568359375,2013-01-10
365,1208.6229248046875,2013-01-11
366,1230.8575439453125,2013-01-12
367,1245.01904296875,2013-01-13
368,1264.0877685546875,2013-01-14
369,1287.5472412109375,2013-01-15
370,1280.326904296875,2013-01-16
371,1245.2158203125,2013-01-17
372,1197.2645263671875,2013-01-18
373,1116.259033203125,2013-01-19
374,1067.8311767578125,2013-01-20
375,1059.287841796875,2013-01-21
376,1063.3741455078125,2013-01-22
377,1182.8450927734375,2013-01-23
378,1461.4127197265625,2013-01-24
379,1796.5513916015625,2013-01-25
380,2168.669677734375,2013-01-26
381,2572.838623046875,2013-01-27
382,3095.92236328125,2013-01-28
383,3697.670654296875,2013-01-29
384,4315.80419921875,2013-01-30
385,5031.314453125,2013-01-31
386,5720.28515625,2013-02-01
387,6305.154296875,2013-02-02
388,6910.95068359375,2013-02-03
389,7469.78857421875,2013-02-04
390,7990.533203125,2013-02-05
391,8468.5341796875,2013-02-06
392,8965.1953125,2013-02-07
393,9505.6103515625,2013-02-08
394,10067.078125,2013-02-09
395,10622.1923828125,2013-02-10
396,11105.5,2013-02-11
397,11694.5263671875,2013-02-12
398,12097.1435546875,2013-02-13
399,12689.078125,2013-02-14
400,13107.4208984375,2013-02-15
401,13467.5126953125,2013-02-16
402,13646.369140625,2013-02-17
403,13700.365234375,2013-02-18
404,13963.54296875,2013-02-19
405,14188.232421875,2013-02-20
406,14305.2451171875,2013-02-21
407,14372.361328125,2013-02-22
408,14248.0986328125,2013-02-23
409,14081.0908203125,2013-02-24
410,13921.0400390625,2013-02-25
411,13779.376953125,2013-02-26
412,13607.431640625,2013-02-27
413,13637.9990234375,2013-02-28
414,13714.75,2013-03-01
415,13696.951171875,2013-03-02
416,13669.2138671875,2013-03-03
417,13793.673828125,2013-03-04
418,14208.8154296875,2013-03-05
419,14707.6689453125,2013-03-06
420,15137.8896484375,2013-03-07
421,15685.1884765625,2013-03-08
422,16354.1123046875,2013-03-09
423,16926.98828125,2013-03-10
424,17655.59765625,2013-03-11
425,18136.734375,2013-03-12
426,18760.296875,2013-03-13
427,19363.552734375,2013-03-14
428,19929.673828125,2013-03-15
429,20471.203125,2013-03-16
430,21045.376953125,2013-03-17
431,21801.630859375,2013-03-18
432,23163.251953125,2013-03-19
433,24805.740234375,2013-03-20
434,26861.484375,2013-03-21
435,28772.68359375,2013-03-22
436,30267.49609375,2013-03-23
437,32112.25390625,2013-03-24
438,34211.0625,2013-03-25
439,36551.4296875,2013-03-26
440,39380.625,2013-03-27
441,42095.8984375,2013-03-28
442,44787.54296875,2013-03-29
443,47477.30859375,2013-03-30
444,50268.890625,2013-03-31
445,53404.4609375,2013-04-01
446,57050.19921875,2013-04-02
447,61431.046875,2013-04-03
448,65653.046875,2013-04-04
449,69981.265625,2013-04-05
450,73966.90625,2013-04-06
451,78830.9296875,2013-04-07
452,84272.859375,2013-04-08
453,91054.359375,2013-04-09
454,94446.125,2013-04-10
455,91712.1953125,2013-04-11
456,91059.625,2013-04-12
457,88620.6171875,2013-04-13
458,86007.9921875,2013-04-14
459,81738.71875,2013-04-15
460,76983.6796875,2013-04-16
461,74323.59375,2013-04-17
462,72919.8203125,2013-04-18
463,71880.4140625,2013-04-19
464,71155.6171875,2013-04-20
465,69919.0703125,2013-04-21
466,68893.1484375,2013-04-22
467,68382.3203125,2013-04-23
468,68304.2734375,2013-04-24
469,67830.0703125,2013-04-25
470,67488.546875,2013-04-26
471,68317.8984375,2013-04-27
472,69116.5546875,2013-04-28
473,69761.1796875,2013-04-29
474,70330.3125,2013-04-30
475,70984.6796875,2013-05-01
476,71497.15625,2013-05-02
477,71721.859375,2013-05-03
478,71716.2578125,2013-05-04
479,71770.7109375,2013-05-05
480,71829.671875,2013-05-06
481,71691.1953125,2013-05-07
482,71237.1796875,2013-05-08
483,70576.6953125,2013-05-09
484,69645.5859375,2013-05-10
485,68485.7265625,2013-05-11
486,67344.3828125,2013-05-12
487,66118.9765625,2013-05-13
488,64680.25390625,2013-05-14
489,63217.9921875,2013-05-15
490,61482.77734375,2013-05-16
491,59388.87109375,2013-05-17
492,57166.11328125,2013-05-18
493,54734.43359375,2013-05-19
494,52147.80859375,2013-05-20
495,49468.953125,2013-05-21
496,46792.1171875,2013-05-22
497,44115.41796875,2013-05-23
498,41468.86328125,2013-05-24
499,38847.41015625,2013-05-25
500,36247.203125,2013-05-26
501,36386.71875,2013-05-27
502,36554.4921875,2013-05-28
503,37101.54296875,2013-05-29
504,37532.68359375,2013-05-30
505,38047.68359375,2013-05-31
506,38544.97265625,2013-06-01
507,38761.5703125,2013-06-02
508,39074.47265625,2013-06-03
509,39192.92578125,2013-06-04
510,39217.2578125,2013-06-05
511,39010.953125,2013-06-06
512,38191.3828125,2013-06-07
513,37194.34765625,2013-06-08
514,35603.6953125,2013-06-09
515,34136.18359375,2013-06-10
516,32695.150390625,2013-06-11
517,31118.65234375,2013-06-12
518,29167.5078125,2013-06-13
519,26906.501953125,2013-06-14
520,24552.53515625,2013-06-15
521,22141.80859375,2013-06-16
522,19753.203125,2013-06-17
523,17503.162109375,2013-06-18
524,15220.548828125,2013-06-19
525,12887.7880859375,2013-06-20
526,10641.232421875,2013-06-21
527,8478.9970703125,2013-06-22
528,6574.998046875,2013-06-23
529,4858.97802734375,2013-06-24
530,3419.86474609375,2013-06-25
531,2287.706298828125,2013-06-26
532,1411.9375,2013-06-27
533,891.9258422851562,2013-06-28
534,679.1895751953125,2013-06-29
535,603.2091674804688,2013-06-30
536,604.314208984375,2013-07-01
537,708.8265380859375,2013-07-02
538,1200.002197265625,2013-07-03
539,1723.78857421875,2013-07-04
540,2511.255126953125,2013-07-05
541,3320.787109375,2013-07-06
542,3850.441650390625,2013-07-07
543,4244.2734375,2013-07-08
544,4471.56298828125,2013-07-09
545,4280.56689453125,2013-07-10
546,3986.102783203125,2013-07-11
547,3588.07275390625,2013-07-12
548,3170.936767578125,2013-07-13
549,2815.07666015625,2013-07-14
550,2442.461669921875,2013-07-15
551,2135.475830078125,2013-07-16
552,1914.2144775390625,2013-07-17
553,1792.682861328125,2013-07-18
554,1784.848876953125,2013-07-19
555,1653.45458984375,2013-07-20
556,1420.8304443359375,2013-07-21
557,1215.0906982421875,2013-07-22
558,1146.7728271484375,2013-07-23
559,1286.12255859375,2013-07-24
560,1291.1971435546875,2013-07-25
561,1354.720947265625,2013-07-26
562,1622.1519775390625,2013-07-27
563,2119.8623046875,2013-07-28
564,2809.6376953125,2013-07-29
565,3346.03369140625,2013-07-30
566,3934.546875,2013-07-31
567,4467.3330078125,2013-08-01
568,4913.36376953125,2013-08-02
569,5420.47509765625,2013-08-03
570,5843.52490234375,2013-08-04
571,6062.6240234375,2013-08-05
572,6064.56005859375,2013-08-06
573,6019.25244140625,2013-08-07
574,5890.44384765625,2013-08-08
575,5733.71337890625,2013-08-09
576,5428.8642578125,2013-08-10
577,4972.0283203125,2013-08-11
578,4495.10498046875,2013-08-12
579,4211.75244140625,2013-08-13
580,4006.197021484375,2013-08-14
581,3864.4462890625,2013-08-15
582,3547.879638671875,2013-08-16
583,3185.918212890625,2013-08-17
584,2847.462158203125,2013-08-18
585,2548.125244140625,2013-08-19
586,2234.5361328125,2013-08-20
587,1958.912841796875,2013-08-21
588,1649.236083984375,2013-08-22
589,1379.979248046875,2013-08-23
590,1193.3428955078125,2013-08-24
591,1015.064697265625,2013-08-25
592,896.890625,2013-08-26
593,782.6536865234375,2013-08-27
594,662.0001220703125,2013-08-28
595,600.2816162109375,2013-08-29
596,529.366455078125,2013-08-30
597,452.3090515136719,2013-08-31
598,368.7497863769531,2013-09-01
599,291.9140319824219,2013-09-02
600,223.77256774902344,2013-09-03
601,178.38278198242188,2013-09-04
602,138.9078826904297,2013-09-05
603,124.13774108886719,2013-09-06
604,112.80718994140625,2013-09-07
605,117.18138122558594,2013-09-08
606,123.20108795166016,2013-09-09
607,169.6289825439453,2013-09-10
608,255.08926391601562,2013-09-11
609,367.9826965332031,2013-09-12
610,507.30999755859375,2013-09-13
611,658.6566772460938,2013-09-14
612,831.0639038085938,2013-09-15
613,1009.8653564453125,2013-09-16
614,1206.57470703125,2013-09-17
615,1402.91943359375,2013-09-18
616,1559.107177734375,2013-09-19
617,1705.5709228515625,2013-09-20
618,1773.646728515625,2013-09-21
619,1856.0892333984375,2013-09-22
620,1951.0633544921875,2013-09-23
621,2024.873779296875,2013-09-24
622,2083.482177734375,2013-09-25
623,2127.653076171875,2013-09-26
624,2169.47607421875,2013-09-27
625,2209.698486328125,2013-09-28
626,2257.173095703125,2013-09-29
627,2349.274658203125,2013-09-30
628,2460.062744140625,2013-10-01
629,2566.788330078125,2013-10-02
630,2677.19677734375,2013-10-03
631,2787.89208984375,2013-10-04
632,2922.6044921875,2013-10-05
633,3070.164306640625,2013-10-06
634,3224.191650390625,2013-10-07
635,3410.108642578125,2013-10-08
636,3590.853759765625,2013-10-09
637,3713.581298828125,2013-10-10
638,3831.8251953125,2013-10-11
639,3959.8076171875,2013-10-12
640,4018.26611328125,2013-10-13
641,4111.26171875,2013-10-14
642,4032.978515625,2013-10-15
643,3964.239013671875,2013-10-16
644,3676.321044921875,2013-10-17
645,3355.0908203125,2013-10-18
646,3129.022705078125,2013-10-19
647,3073.99658203125,2013-10-20
648,3423.08251953125,2013-10-21
649,3994.20751953125,2013-10-22
650,4758.3095703125,2013-10-23
651,5500.3515625,2013-10-24
652,6189.14892578125,2013-10-25
653,6774.263671875,2013-10-26
654,7561.29638671875,2013-10-27
655,8358.138671875,2013-10-28
656,9250.861328125,2013-10-29
657,9983.6279296875,2013-10-30
658,10794.458984375,2013-10-31
659,11541.126953125,2013-11-01
660,12297.421875,2013-11-02
661,13084.3046875,2013-11-03
662,14094.658203125,2013-11-04
663,15295.6396484375,2013-11-05
664,16733.146484375,2013-11-06
665,18475.185546875,2013-11-07
666,20682.4140625,2013-11-08
667,22872.185546875,2013-11-09
668,24589.892578125,2013-11-10
669,26390.80859375,2013-11-11
670,28081.70703125,2013-11-12
671,30000.013671875,2013-11-13
672,31899.705078125,2013-11-14
673,33373.76953125,2013-11-15
674,34795.53515625,2013-11-16
675,36409.80078125,2013-11-17
676,39691.5625,2013-11-18
677,41187.98828125,2013-11-19
678,42971.9296875,2013-11-20
679,45538.5078125,2013-11-21
680,48386.1640625,2013-11-22
681,51122.171875,2013-11-23
682,53209.23828125,2013-11-24
683,55085.17578125,2013-11-25
684,57398.51953125,2013-11-26
685,59673.69140625,2013-11-27
686,61942.734375,2013-11-28
687,64693.76953125,2013-11-29
688,66973.140625,2013-11-30
689,67739.203125,2013-12-01
690,68943.2265625,2013-12-02
691,70003.046875,2013-12-03
692,71299.640625,2013-12-04
