Name,DataSource,QuandlDataset,QuandlName,QuandlColumn(startindex=1),isYahooIndex
BITSTAMPUSD,QUANDL,BTCE,USDBTC,5,false
DTWEXM,FED,NA,NA,0,false,false
EURJPY,QUANDL,ECB,EURJPY,2,false,false
